site,time,Abies,Amaranthaceae,Apiaceae,Arceuthobium,Artemisia,Asteraceae,Brassicaceae,Caryophyllaceae,Cupressaceae,Ephedra,Phlox,Picea,Pinus,Poaceae,Polygonaceae,Pseudotsuga,Ranunculaceae,Rosaceae,Sarcobatus vermiculatus
gray01,4985,0,0.094240838,0.005235602,0,0.335078534,0.062827225,0,0.010471204,0.041884817,0.015706806,0,0,0.303664921,0.073298429,0,0.010471204,0.02617801,0.010471204,0.010471204
gray02,5524,0.014150943,0.070754717,0.014150943,0,0.386792453,0.070754717,0,0.004716981,0.066037736,0.004716981,0,0.004716981,0.297169811,0.028301887,0,0.037735849,0,0,0
gray03,6137,0.004651163,0.181395349,0.009302326,0,0.404651163,0.041860465,0,0,0.037209302,0,0,0.004651163,0.260465116,0.018604651,0,0.009302326,0.009302326,0.013953488,0.004651163
gray04,6747,0,0.118918919,0,0,0.340540541,0.07027027,0,0,0.010810811,0.005405405,0,0.010810811,0.405405405,0.016216216,0,0.016216216,0,0,0.005405405
gray05,7356,0,0.108490566,0.004716981,0,0.367924528,0.051886792,0,0.009433962,0.037735849,0,0,0.014150943,0.287735849,0.047169811,0.033018868,0.009433962,0.009433962,0,0.018867925
gray06,8060,0.004048583,0.089068826,0,0,0.340080972,0.024291498,0,0,0.024291498,0,0,0.004048583,0.44534413,0.024291498,0,0.012145749,0.004048583,0,0.028340081
gray07,8806,0,0.094527363,0,0,0.457711443,0.024875622,0,0,0.039800995,0,0,0.004975124,0.293532338,0.044776119,0,0.024875622,0.004975124,0,0.009950249
gray08,9775,0,0.153846154,0,0,0.278846154,0.091346154,0,0,0.038461538,0,0,0.009615385,0.245192308,0.144230769,0,0.014423077,0.014423077,0.009615385,0
gray09,10384,0.004310345,0.068965517,0.021551724,0,0.202586207,0.021551724,0,0,0.047413793,0,0,0,0.146551724,0.474137931,0.004310345,0.004310345,0,0,0.004310345
gray10,10921,0,0.091324201,0,0,0.388127854,0.04109589,0,0,0.01826484,0.00456621,0,0.00456621,0.214611872,0.223744292,0,0.01369863,0,0,0
gray11,11379,0.019138756,0.04784689,0,0,0.377990431,0.071770335,0,0,0.014354067,0,0,0.009569378,0.397129187,0.009569378,0,0.043062201,0,0.004784689,0.004784689
gray12,11606,0.004807692,0.052884615,0,0,0.254807692,0.038461538,0,0,0.009615385,0,0,0.033653846,0.528846154,0.038461538,0,0.038461538,0,0,0
gray13,11838,0.015151515,0.035353535,0,0,0.368686869,0.04040404,0,0,0.02020202,0,0,0.015151515,0.429292929,0.035353535,0,0.04040404,0,0,0
gray14,11995,0.034146341,0.053658537,0.004878049,0,0.395121951,0.07804878,0,0.004878049,0.014634146,0,0,0.043902439,0.356097561,0.009756098,0.004878049,0,0,0,0
gray15,11760,0.004761905,0.014285714,0,0,0.380952381,0.047619048,0,0,0.014285714,0,0,0.033333333,0.466666667,0.00952381,0,0.014285714,0,0,0.014285714
gray16,11917,0,0.009433962,0,0,0.448113208,0.014150943,0,0,0.014150943,0,0,0.023584906,0.45754717,0.023584906,0,0,0,0,0.009433962
gray17,12069,0.030150754,0.025125628,0,0,0.351758794,0.040201005,0,0,0.005025126,0,0,0.015075377,0.497487437,0,0,0.015075377,0.005025126,0,0.015075377
gray18,12217,0.034146341,0.029268293,0,0.004878049,0.307317073,0.068292683,0,0,0.004878049,0,0,0.034146341,0.448780488,0.034146341,0,0.019512195,0.004878049,0.004878049,0.004878049
gray19,12366,0.009661836,0.033816425,0,0.009661836,0.497584541,0.038647343,0.009661836,0,0,0,0.004830918,0.014492754,0.314009662,0.038647343,0,0.004830918,0,0.009661836,0.014492754
gray20,12515,0,0.02293578,0.004587156,0.018348624,0.504587156,0.04587156,0.02293578,0,0.009174312,0,0,0.009174312,0.334862385,0.009174312,0,0.009174312,0,0,0.009174312
gray21,12663,0.00456621,0.00913242,0,0,0.534246575,0.03196347,0,0.00456621,0.01369863,0,0,0.01826484,0.333333333,0.02739726,0,0.00913242,0,0,0.01369863
gray22,12808,0.009174312,0.036697248,0,0.032110092,0.495412844,0.02293578,0.009174312,0,0.004587156,0,0,0.041284404,0.302752294,0.02293578,0,0.009174312,0.004587156,0,0.009174312
gray23,13100,0.017167382,0.021459227,0,0,0.587982833,0.008583691,0.008583691,0,0.008583691,0,0,0.017167382,0.287553648,0.008583691,0,0.017167382,0.004291845,0.004291845,0.008583691
gray24,13390,0,0.02,0,0,0.43,0.015,0,0,0.005,0,0,0.02,0.495,0.01,0,0,0,0,0.005
gray25,14115,0.004878049,0.024390244,0,0,0.414634146,0.073170732,0,0,0.014634146,0,0,0.009756098,0.414634146,0.034146341,0,0.004878049,0,0.004878049,0
gray26,14843,0,0.014285714,0,0,0.30952381,0.014285714,0,0,0.014285714,0,0,0.019047619,0.561904762,0.042857143,0,0,0,0.019047619,0.004761905
gray27,18511,0.009950249,0.014925373,0,0,0.328358209,0.024875622,0,0,0.014925373,0,0,0.034825871,0.537313433,0.029850746,0,0,0,0,0.004975124
gray28,19995,0.004926108,0.034482759,0,0,0.467980296,0.0591133,0,0.014778325,0.024630542,0,0,0.019704433,0.295566502,0.064039409,0,0,0,0.004926108,0.009852217
gray29,21032,0.01369863,0.03652968,0.00456621,0,0.337899543,0.077625571,0,0,0.01826484,0,0,0.01369863,0.470319635,0.01826484,0.00913242,0,0,0,0
gray30,24037,0,0.022727273,0,0,0.372727273,0.036363636,0,0.013636364,0.022727273,0,0.095454545,0.013636364,0.331818182,0.077272727,0,0,0,0.009090909,0.004545455
gray31,28145,0,0.071770335,0,0,0.531100478,0.090909091,0,0.009569378,0.019138756,0.004784689,0,0,0.19138756,0.071770335,0,0,0.004784689,0,0.004784689
gray32,31747,0.004807692,0.048076923,0,0,0.211538462,0.009615385,0,0.009615385,0,0,0,0.024038462,0.668269231,0.014423077,0,0.004807692,0,0,0.004807692
gray33,35515,0.004608295,0.032258065,0,0,0.552995392,0.110599078,0,0,0.023041475,0,0,0.00921659,0.193548387,0.046082949,0,0,0,0.013824885,0.013824885
gray34,37030,0.004878049,0.004878049,0,0,0.482926829,0.014634146,0,0.009756098,0.014634146,0.004878049,0,0.014634146,0.36097561,0.07804878,0,0,0,0.004878049,0.004878049
gray35,42977,0,0.072727273,0,0,0.690909091,0.045454545,0,0.004545455,0.009090909,0,0,0,0.131818182,0.045454545,0,0,0,0,0
gray36,46820,0.010309278,0.005154639,0,0,0.324742268,0.015463918,0,0.005154639,0,0,0,0.067010309,0.489690722,0.077319588,0,0,0,0,0.005154639
gray37,49077,0.004761905,0.061904762,0,0,0.695238095,0.071428571,0,0,0,0,0,0.019047619,0.066666667,0.052380952,0,0.019047619,0.004761905,0,0.004761905
gray38,50587,0.004524887,0.081447964,0,0,0.687782805,0.036199095,0,0,0.004524887,0,0,0.013574661,0.108597285,0.049773756,0.004524887,0,0,0,0.009049774
gray39,54573,0.004672897,0.023364486,0,0,0.696261682,0.070093458,0,0,0.009345794,0,0,0.042056075,0.126168224,0.018691589,0,0,0,0.004672897,0.004672897
gray40,56616,0.004504505,0.081081081,0,0,0.756756757,0.045045045,0,0,0,0,0,0.004504505,0.045045045,0.040540541,0,0,0,0,0.022522523
gray41,58275,0.004854369,0.014563107,0,0,0.694174757,0.029126214,0,0.004854369,0,0,0,0.014563107,0.165048544,0.048543689,0.004854369,0.004854369,0.004854369,0,0.009708738
gray42,61643,0.004926108,0.004926108,0,0,0.625615764,0.049261084,0,0,0.004926108,0,0,0.039408867,0.216748768,0.02955665,0,0,0,0.004926108,0.019704433
gray43,63750,0.004830918,0.053140097,0,0,0.657004831,0.053140097,0,0,0,0,0,0.024154589,0.149758454,0.048309179,0,0.004830918,0,0,0.004830918
gray44,65780,0.017391304,0.043478261,0,0,0.634782609,0.047826087,0,0,0.008695652,0,0,0.026086957,0.204347826,0.017391304,0,0,0,0,0
gray45,69396,0,0.072580645,0,0,0.72983871,0.032258065,0,0.004032258,0.004032258,0.004032258,0,0.004032258,0.112903226,0.012096774,0,0,0,0,0.024193548
gray46,70902,0,0.049056604,0,0,0.788679245,0.041509434,0,0,0.01509434,0,0,0,0.067924528,0.01509434,0,0,0,0,0.022641509
gray47,75739,0,0.013392857,0,0,0.709821429,0.040178571,0,0,0.004464286,0,0,0.004464286,0.169642857,0.03125,0,0,0,0,0.026785714
gray48,79434,0,0.02811245,0,0,0.706827309,0.0562249,0,0.004016064,0.004016064,0,0,0,0.116465863,0.072289157,0,0,0,0,0.012048193
gray49,82902,0,0.076923077,0,0,0.49321267,0.085972851,0,0.009049774,0.009049774,0.004524887,0,0.013574661,0.262443439,0.013574661,0,0,0,0.004524887,0.027149321
gray50,85907,0,0.14,0,0,0.55,0.055,0,0,0.01,0.005,0,0.01,0.15,0.07,0,0,0,0,0.01
gray51,89730,0.013636364,0.059090909,0,0,0.640909091,0.027272727,0,0,0.004545455,0,0,0.004545455,0.15,0.072727273,0,0,0,0,0.027272727
gray52,90941,0,0.07826087,0,0,0.717391304,0.034782609,0,0,0.017391304,0,0,0.004347826,0.073913043,0.043478261,0,0,0,0.008695652,0.02173913
gray53,92291,0.010204082,0.086734694,0.005102041,0,0.576530612,0.076530612,0,0,0,0,0,0.040816327,0.137755102,0.030612245,0,0,0.005102041,0,0.030612245
gray54,96904,0.008695652,0.130434783,0,0,0.630434783,0.039130435,0,0,0.004347826,0,0,0.008695652,0.091304348,0.043478261,0,0,0.004347826,0.008695652,0.030434783
gray55,97281,0,0.14953271,0,0,0.598130841,0.060747664,0,0,0.004672897,0,0,0.014018692,0.098130841,0.03271028,0,0.009345794,0,0,0.03271028
gray56,97507,0,0.126760563,0,0,0.657276995,0.037558685,0,0.009389671,0.004694836,0,0,0.014084507,0.107981221,0.009389671,0,0,0.004694836,0,0.028169014
