"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cupressaceae","Ericaceae","Fagaceae","Fraxinus","Ilex","Ostrya","Picea","Pinus","Platanus","Poaceae","Quercus","Rosaceae","Salix","Sanguisorba","Thalictrum","Tsuga.heterophylla","Ulmus"
"cran1",0,0,0.00927929289883662,0.0434390270407785,0.00123923085177156,0.0175334474325698,0.00181530481795409,0.000788171319555845,0.00238142572883397,0.184169345455332,0.00604215930312884,0.0583197445984055,0,0.0144284177911458,0.000300160945371775,0.0142010519757208,0.0521390316606691,0.00790046616923188,0.000512434070284462,0.00991676843317195,0.0674960488480863,0.090843992976058,0.00836822700604572,0.0044902343239155,0.348652713286654,0.00418089536182769,8.6873966062095e-05,0,0.00258099572471518,0.0403031719201773,0.0085913660126936
"cran2",1000,3.42440686071075e-05,0.00960642298687679,0.0515692546227357,0.00110115900631858,0.0128885610506048,0.00236157213330716,0.000884718405660554,0.0021375104904567,0.186923855668611,0.00634876937804946,0.0589203213234255,0,0.0154598843336324,0.000292496120408278,0.0183918702103079,0.0542207046671153,0.00784057289948218,0.000603139406950442,0.00861034455887686,0.0638940446648347,0.0897812881511413,0.00803661136653394,0.00334108725754772,0.340392774751949,0.00375567292544819,0.000238403575215449,0,0.00281792342641093,0.0416756755673079,0.00787111696231283
"cran3",2000,6.62750268358845e-05,0.0094885363310082,0.0595024965215559,0.000982239002938707,0.00975218195412711,0.0028852201015953,0.000999967297584448,0.00201693618292644,0.188361849228315,0.00724982013409869,0.0576081786603048,0,0.0159860657218885,0.000210164729558225,0.0260599264908932,0.0556895766932926,0.00794290061703158,0.000720969006345669,0.00747496297434283,0.0595238175946845,0.0870893404225925,0.00752653965547697,0.00263948452706194,0.331504838924643,0.00338944979018924,0.000376177156461926,0,0.00316086931453853,0.0442919430578053,0.00749927290276432
"cran4",3000,9.57476460025524e-05,0.00906118599515051,0.0719974392803994,0.000963686013512499,0.00774263966334359,0.00332104510207942,0.00114906850347571,0.00183921635734554,0.187920251911043,0.0082991463847609,0.0544502110559417,0,0.0172422924238421,0.000147604669784551,0.0329550126729975,0.0569918443505443,0.00813114589991742,0.000877785789370167,0.00652260875943248,0.0542725194976503,0.0823818397748668,0.00674449274911793,0.00235237138295924,0.321068154016816,0.00319344043849561,0.000529516382463779,0,0.00357855841941296,0.0488768604208393,0.0072943145672397
"cran5",4000,0.000135025106343366,0.00853139224426319,0.0861513796618792,0.000929205276149948,0.00611432384990469,0.00338427729231497,0.00123411107804719,0.00167854905966577,0.18521669433354,0.00961507296359177,0.0507624566219691,0,0.0197079284593289,9.82090818298683e-05,0.040913147255626,0.0577584259223074,0.00807524663758736,0.000764031560338076,0.00581447880579813,0.0467754596644503,0.0761682933147303,0.00607379422979742,0.00222113814700711,0.309843921651314,0.00295601497451128,0.000976397712162182,0,0.00389260742871286,0.0569532287767336,0.00725518916529988
"cran6",5000,0.00023187734549925,0.00767984112972188,0.111937681546716,0.000970975858463454,0.00437842118475588,0.00302255503525242,0.00123843995167162,0.00168868807677938,0.173915468682425,0.0116747386488648,0.0455579809971102,0,0.0235394725718939,5.52700295526391e-05,0.0480177573114762,0.0565290133395759,0.0077268590047578,0.000695200879857585,0.00540985243040521,0.0385706786687742,0.0676685289569403,0.00556708442874477,0.00212695169427148,0.294550230692659,0.0029752914619855,0.00212403020404253,0,0.00411165813604432,0.0709442145156944,0.00709123759628956
"cran7",6000,0.000893685960484548,0.00637677953066735,0.14615976091732,0.00109102501094611,0.00392985411471522,0.0025755829364396,0.00115073889759915,0.002112306792553,0.158321847636589,0.0114223888620243,0.0387863071409494,3.90063650892108e-05,0.0275300170712592,5.05473110884081e-06,0.0516571854609041,0.052111452855785,0.00717628212861678,0.000645438389991608,0.00584989154673988,0.0333756599813551,0.0581352043056518,0.00494382990991353,0.00253900703880396,0.275821136146897,0.00269855460201773,0.00412126206118875,0,0.00433111182073923,0.0893235849554493,0.00687604339590251
"cran8",7000,0.00265127701550093,0.00507345891998226,0.189680649363385,0.00118401515331982,0.00375812058381906,0.00190582623052881,0.00102603387255026,0.0028086762061159,0.140426583687299,0.00997885296656952,0.0317789272755322,9.54351853353607e-05,0.0315294413601749,0,0.0452230413227952,0.0449418830606733,0.00633303904728417,0.000515676159380807,0.00746480462738638,0.0315022475733654,0.0496558183045278,0.00439681528378949,0.00321851340585403,0.25252061304287,0.00229355276112941,0.00686959429827674,0,0.00431088108147491,0.112646476780516,0.00620974613196908
"cran9",8000,0.00712584809627396,0.00370456641441118,0.224785151216981,0.00118396674898892,0.00327974544272142,0.0011256009096609,0.0009639387387465,0.00393118273731065,0.117319759755761,0.00764823546717879,0.0250653197989088,0.000270704619738196,0.0332720870251753,0,0.0350582965002991,0.0342890312239931,0.00473534840486276,0.000253773362505085,0.00997935026113385,0.0461538400614545,0.0523003460106971,0.00399963092442626,0.00494689571136956,0.218279235930864,0.00173660917850049,0.0107585770530069,4.64794817526982e-05,0.00436615569617345,0.138162697617608,0.00525762636456314
"cran10",9000,0.0150605689135344,0.00223750761783156,0.240338638310837,0.00116259579768937,0.00280281493504626,0.000582443281614303,0.00101295955847143,0.00553669837937163,0.0880877828787443,0.00443259065991427,0.0178271768469863,0.000619016060536358,0.0303645366266402,0,0.020650337223352,0.0208505339095353,0.00292935052951017,0.000184961884965236,0.0124623833401119,0.0896906433608657,0.080994918996968,0.00305532888791887,0.00860054575461341,0.168752122700507,0.00118521590856814,0.01459624031217,0.000283963965575827,0.0050109469441424,0.156778002873386,0.00390917418550369
"cran11",10000,0.0238545793860766,0.00136224424181948,0.223763052838174,0.000939929644723839,0.00255920118680685,0.000596765811326452,0.00111141357818162,0.00711541815068079,0.0697876169873449,0.000776503559871527,0.0134489804691172,0.0011951131128253,0.0232229505736521,0,0.00776114029529483,0.0105695277623257,0.00158719265806522,0.000116707279976941,0.0144457298644449,0.145513855800264,0.123374588744208,0.0019943899824311,0.0127934067540354,0.124716430257906,0.000511907467607335,0.0161690660484243,0.000624237505462831,0.00616612148882728,0.161081496318793,0.00284043279224772
"cran12",11000,0.0307994596415147,0.0010295726537037,0.182024551361443,0.00093773439082366,0.00244190299577114,0.00100084817509674,0.00162915273150912,0.00834805100428413,0.0577093631881979,3.9429347567717e-05,0.0107784053069375,0.00372514028971808,0.0152638251328082,0,0.000276039173880597,0.00536755280486457,0.000822666002321725,3.9429347567717e-05,0.0151677104338308,0.19990966993361,0.171913743081537,0.00126330084278607,0.0232081750651741,0.0923760781934494,0.000385112166721946,0.0153830209609729,0.00140489325176893,0.00793428470334439,0.146443930664373,0.00237695761155334
"cran13",12000,0.0355560888624914,0.000772186450543703,0.130871534409415,0.0013456624752925,0.00240042691650379,0.00143374244129387,0.00229050210532691,0.00998961881321404,0.0452113300697591,0,0.00843158493530626,0.00940402713095664,0.00864332488368892,0,3.81265329938059e-05,0.00261221474397798,0.000273350229428768,0,0.0143185945396008,0.250926375134425,0.221424569575086,0.000667316770736407,0.035480914466841,0.0668213398930213,0.000437939859518238,0.0141136317886579,0.00217256302406056,0.0105703423634412,0.1214273464781,0.00236534553918789
"cran14",13000,0.0377335459068731,0.000555511636494253,0.0890850507698217,0.0020968714055536,0.00270932500950035,0.00174461844358433,0.00287980400216983,0.0124462306745836,0.0341273744440828,0,0.00615145089719681,0.0176549121931152,0.00395792243461178,0,0,0.0011034605305536,9.95778886934084e-05,0,0.0128732608946165,0.288107422662122,0.265338410803249,0.000176084743109313,0.0491501098908632,0.0477249432185374,0.000431154222466573,0.0122524064778032,0.00302378576240324,0.0132359283413383,0.0932242322434612,0.00211660495584096
"cran15",14000,0.037413347129579,0.000429898583701058,0.0576705708469566,0.00331408246042586,0.00299224421226448,0.00226496520277369,0.00368882164659943,0.0156745191014919,0.0270599547758983,0,0.00450533120893745,0.0298189386578413,0.00108599578805071,0,0,0.000589538226027877,3.39373630314492e-05,0,0.0120270235441619,0.306424650329446,0.289304101205856,3.39373630314492e-05,0.0671007240910906,0.0367007336321706,0.000395836751523429,0.0104141114549625,0.00397034366670169,0.0163667605548435,0.0688142371008615,0.00190539559742943
"cran16",15000,0.0347036231985048,0.000286671782450718,0.0320232655179586,0.00505059224273304,0.00335571037445707,0.00288152492565987,0.00550601215402606,0.0191975166000668,0.0204061759247828,0,0.00259983508210825,0.0453487746565319,0,0,0,0.000340136097018042,0,0,0.0106877843001169,0.30932147028078,0.31207758129878,0,0.0915594371326846,0.0281428987974023,0.000329993384689275,0.00879344478320247,0.0051639501162713,0.019279718061268,0.0413596358800952,0.00158424786539425
"cran17",16000,0.0313185280042529,0.00018853875118135,0.0165545840611152,0.00669707910637404,0.00430084100367531,0.00271441099548462,0.00731466743757219,0.022883487035703,0.0167745318041059,0,0.00141523391567783,0.0614840071023837,0,0,0,0.000236270114617242,0,0,0.00946962169830936,0.30127098073228,0.331541445957156,0,0.104934849573401,0.0233660885884175,0.000236270114617242,0.00787122365383808,0.00537430581665442,0.0217479085959782,0.0211783910714586,0.00112673505665232
"cran18",17000,0.0267853224390579,4.05032913084315e-05,0.0062356542690557,0.00801672355754642,0.00542091605852178,0.00248552205909978,0.00980615471613323,0.0255144540923344,0.0150646817102088,0,0.000361267911133589,0.0740840461666065,0,0,0,7.93757389639477e-05,0,0,0.00829558890007947,0.285094319372661,0.354965443107073,0,0.119450419242829,0.0179912256170074,7.93757389639477e-05,0.00628492864756882,0.00585741171765046,0.0224612455038653,0.00526515984011271,0.000360260161043277
"cran19",18000,0.0208847792328213,0,0.00082194061401895,0.00753071223990433,0.00616686838064575,0.00202786714285714,0.0126223956001288,0.0227951505219391,0.0167896157667188,0,0,0.0707815465036335,0,0,0,0,0,0,0.00672961342976727,0.274936471268513,0.383241534117928,0,0.130830244549811,0.0151195106072118,0,0.00419102534385061,0.00567823389642167,0.0188524900267685,0,0
"cran20",19000,0.0185323247524319,0,0.00115791913521401,0.00513358703891051,0.00642365855963035,0.00105145804571984,0.0139244666895914,0.0160329512758755,0.018664477366537,0,0,0.0504973342937743,0,0,0,0,0,0,0.00460785806284047,0.285328566825195,0.421387455915856,0,0.123324855152626,0.0142561916645914,0,0.00256679345194553,0.00480186215749027,0.0123082384601167,0,0
"cran21",20000,0.0158847387386952,0,0.00197809074353206,0.0027117146287964,0.0068569769632171,0,0.0128080187020247,0.0101132346299213,0.0184169158535433,0,0,0.0314383330310461,0,0,0,0,0,0,0.0027117146287964,0.311661159708549,0.442753374188639,0,0.119010849653656,0.0123617097574803,0,0.00135585723847019,0.00315802357334083,0.00677928649606299,0,0
"cran22",21000,0.0123630315395951,0,0.00261721537795276,0.000703037125984252,0.00687436818931384,0,0.0101471732577053,0.00472632675590551,0.017429968271991,0,0,0.0137776231322835,0,0,0,0,0,0,0.000703037125984252,0.341952190079753,0.441022955066029,0,0.134723751003487,0.00845739727154106,0,0.000351518543307087,0.00239281311214848,0.00175759279527559,0,0
"cran23",22000,0.0101529991515508,0,0.0029806756459893,0,0.00705794298748663,0,0.00762325989208556,0.0029806756459893,0.0167600055045989,0,0,0.00849109055144385,0,0,0,0,0,0,0,0.359849332143209,0.42748304688738,0,0.148997710421497,0.00607573181005348,0,0,0.00154752808203209,0,0,0
"cran24",23000,0.00931891828601957,0,0.00292400840220448,0,0.00716582048509729,0,0.0050823865696772,0.0024955009886402,0.0173687542985041,0,0.000428507413564278,0.00965604104633899,0,0,0,0,0,0,0,0.364456991594534,0.422193411374761,0,0.152113242494095,0.00593412090855922,0,0,0.000862295193679001,0,0,0
"cran25",24000,0.00832424445855359,0,0.00307702111168597,0,0.00690932998909009,0,0.00214796063333708,0.00185644823866832,0.0171122638024969,0,0.00122057287301766,0.0111097530022495,0,0,0,0,0,0,0,0.366847454197166,0.425373735185356,0,0.148990964235182,0.00693308098054212,0,0,9.71707982229221e-05,0,0,0
"cran26",25000,0.00838012079623138,0,0.00314616900788782,0,0.00641973873948291,0,0.00118578695113935,0.00118578695113935,0.0168876418032428,0,0.00196038205674847,0.011526289525745,0,0,0,0,0,0,0,0.361321123647897,0.442519166863606,0,0.136440478896472,0.00902731462138475,0,0,0,0,0,0
"cran27",26000,0.00820463920872695,0,0.00397933219973009,0,0.00480358470692758,0,0.00177161004116059,0.000578277697930724,0.0132541983108412,0,0.0028043883731444,0.010990638752924,0,0,0,0,0,0,0,0.352901735429825,0.480695972212663,0,0.107026460523504,0.0129891627372919,0,0,0,0,0,0
"cran28",27000,0.0078279653844264,0,0.00472429765327921,0,0.00292323733433027,0,0.00279739260531938,0,0.00876971171651357,0,0.00341581664323862,0.00993530053257851,0,0,0,0,0,0,0,0.343309848953429,0.523764083709143,0,0.0760716878247169,0.0162802278113651,0,0,0,0.000180430396816919,0,0
"cran29",28000,0.00666241568477477,0,0.00455818502720721,0,0.00188511115711712,0.000338870983783784,0.00435531995414414,0,0.00531646233603604,0,0.00282895590864865,0.00776214207315315,0,0,0,0,0,0,0,0.336930496618559,0.54975310183,0,0.0639377962168469,0.0147742813172973,0,0,0,0.000896861468018018,0,0
"cran30",29000,0.00666523193841216,0,0.00385864169037977,0,0.00116969571666539,0.00063793259876213,0.00545003449919768,0,0.00359983426774662,0,0.00222566460242989,0.00507187995812638,0,0,0,0,0,0,0,0.326661657897914,0.568361755443876,0,0.0626736593384274,0.0114399325759914,0,0,0,0.00218408003568427,0,0
"cran31",30000,0.00675099464160987,0,0.00327168022083739,0,0.000839713074975657,0.000839713074975657,0.00612172356319377,0,0.00292564933281402,0,0.00174722081480039,0.00323508647114573,0,0,0,0,0,0,0,0.320245234941253,0.577844947410191,0,0.0643136536776371,0.0087915788784161,0,0,0,0.00307280444186952,0,0
