"","YrBP","Abies","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cercocarpus","Cupressaceae","Fabaceae","Lamiaceae","Malvaceae","Picea","Pinus","Poaceae","Populus","Quercus","Ranunculaceae","Ribes","Sarcobatus.vermiculatus"
"hay036",35000,0.00186942546738903,0.0714690672281257,0.0314637721521148,0.208495028995024,0.0497972492957193,0.000918541908759039,0.000708225979514963,0.00132840679494036,0.0310789891209803,0.00178157494963611,0.000908960181923873,0,0.031028609899435,0.492374344786616,0.0656009086951427,0.000824268623642663,0.00337694466730997,0.00161781714279071,0.000989614400678959,0.00436825008607901
"hay037",36000,0.00139798471590134,0.0719702846350192,0.0337417819593708,0.211197432943806,0.0502867877124215,0.00145521600409113,0.000521836136018434,0.0017501479486022,0.0324277702943735,0.00131983422047448,0.00162802488876349,0,0.0290520898761139,0.491886593699795,0.0604114304822365,0.000851998182431638,0.00261125058952294,0.00184432807514519,0.000797998084456044,0.0048472101014319
"hay038",37000,0.00129706836593931,0.0716501828602032,0.0374636121948164,0.212142087664474,0.0496734365137432,0.00197321248993257,0.000326132016786851,0.00223219391276456,0.0308238780788069,0.000918915462422738,0.00239637618371886,0,0.0260805146556705,0.497035810972256,0.0560176922932197,0.000706814812886308,0.0020294231606106,0.00191935687876943,0.000592783445635887,0.00472050874618374
"hay039",38000,0.00121685992160621,0.0726197373595939,0.0406540046956651,0.205952269006913,0.0476717021335843,0.00243367355395848,0.000129255959411362,0.00211754162897559,0.0276264657908738,0.000510234205589779,0.0029870540241159,0,0.024070258173055,0.510176899802122,0.0523518031816564,0.000528677396486425,0.00272753789723933,0.00201221791024413,0.000380978246178417,0.00383282977784622
"hay040",39000,0.00124305518660935,0.0734278639626921,0.0421830995348082,0.192017171337102,0.0448356465388263,0.00259836019927113,0,0.00167980950329393,0.0230663502658506,0.000571844252908471,0.00358280848191842,0,0.0229066723250946,0.534323704021282,0.0485149246103116,0.000377386027379339,0.00341548265124048,0.00199972381000327,0.000188702203663038,0.0030673956073214
"hay041",40000,0.0014575948041055,0.0729154359690894,0.0437330134032939,0.172627454628524,0.0427383511760592,0.00267773363623344,0,0.00121732907502089,0.018487247056212,0.00101920788156105,0.00363548925745316,0,0.0220732731224251,0.561663542170092,0.0464051186966941,0.000288566032366631,0.00438301945356248,0.00203258640436806,0,0.00264503748998687
"hay042",41000,0.00154683279386381,0.0726339826716991,0.048382547667785,0.147454782947998,0.0428539274671675,0.00275063561349768,0,0.000731628560960786,0.0170252292025867,0.00186157912620037,0.00281837980310213,0,0.0215293070067829,0.581429758026402,0.048000703146865,0.000744871180463375,0.00568004394770622,0.00199161789509639,0,0.00256417289385651
"hay043",42000,0.00141773692256391,0.0762924732000247,0.0533663139251328,0.122899312636977,0.044802571438681,0.00281833120143263,0,0.000226952046387551,0.0177527471446215,0.00272804629363962,0.00196487613785353,0,0.0211233816505372,0.591102212827269,0.0494436980659504,0.00196582299562801,0.00731058956050389,0.00194869449077436,0,0.00283623907074225
"hay044",43000,0.00146450590732862,0.0817327494014253,0.0592402180435569,0.106813999661331,0.0495333259816253,0.00305957513933947,0,0,0.0189671625185875,0.00383762097000479,0.00125175579115035,0,0.0189783958316758,0.590119487394352,0.0490289102262405,0.00347426474440249,0.00700939515920332,0.0017058901893049,0,0.00378274262567144
"hay045",44000,0.0013075077593882,0.0886127673381209,0.0664511632210634,0.0999766739942899,0.0565931703202331,0.00292296406234523,0,0,0.021786532910823,0.00423564856745812,0.000514545208506919,0,0.0165198045126293,0.572015022790328,0.0506879314651712,0.0052941021406555,0.00690245109407138,0.00160570254642389,0,0.00457401163498907
"hay046",45000,0.00100179480837944,0.0986218895263316,0.0743605369239384,0.0978131636227918,0.06441439035081,0.00256597684954336,0,0,0.0253540241003933,0.00422183140463969,0,0,0.0136344938436771,0.544860093630158,0.0521028780665956,0.0075622174755683,0.00686988042557163,0.00159446823231785,0,0.00502236026994867
"hay047",46000,0.000768344621615814,0.110155274077396,0.0798339461125913,0.100929821533605,0.0698156786181779,0.0023050336673829,0,0,0.0282916423948431,0.003987570511474,0,0,0.0110106232889557,0.519387306220026,0.0507734094465836,0.00974709033184358,0.00645119360292222,0.00164130238324022,0,0.00490176273394929
"hay048",47000,0.000660298021514517,0.119195411321279,0.0855732129136804,0.106636156783874,0.0759811201975543,0.00198089389484698,0,0,0.0303139294395763,0.00385287377726916,0,0,0.00772011266400732,0.494760427154067,0.0500858141791787,0.0114928025125556,0.0050789209173424,0.00160347028014648,0,0.00506455563817682
"hay049",48000,0.000249157914873009,0.127625967490852,0.089917363309944,0.112368582171653,0.0812015077551657,0.00074747368058545,0,0,0.0333912185740422,0.00269538590206629,0,0,0.00676794326926388,0.466207694365045,0.0533324434382264,0.0134181102046922,0.005771311737839,0.00191169947524752,0,0.00439414020867413
"hay050",49000,0,0.139011357276985,0.0922948152791143,0.119533578186928,0.0843831944509261,0,0,0,0.0369134714817969,0.00161245142899723,0,0,0.00629916939919097,0.438643033586332,0.053768892674686,0.0156726046459442,0.00629916939919097,0.00234335863827975,0,0.00322490285799446
"hay051",50000,0,0.165540541,0.091216216,0.135135135,0.084459459,0,0,0,0.043918919,0,0,0,0.006756757,0.39527027,0.047297297,0.02027027,0.006756757,0.003378378,0,0
"hay052",51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay053",52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay054",53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay055",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay056",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay057",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay058",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay059",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay060",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay061",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay062",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay063",62000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay064",63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay065",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay066",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay067",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay068",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay069",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay070",69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay071",70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay072",71000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay073",72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay074",73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay075",74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay076",75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay077",76000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay078",77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay079",78000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay080",79000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay081",80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay082",81000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay083",82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay084",83000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay085",84000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay086",85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay087",86000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay088",87000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay089",88000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay090",89000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay091",90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay092",91000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay093",92000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay094",93000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay095",94000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay096",95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay097",96000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay098",97000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay099",98000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0100",99000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0101",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0102",101000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0103",102000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0104",103000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0105",104000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0106",105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0107",106000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0108",107000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0109",108000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0110",109000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0111",110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0112",111000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0113",112000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0114",113000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0115",114000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0116",115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0117",116000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0118",117000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0119",118000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0120",119000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0121",120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0122",121000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0123",122000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0124",123000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0125",124000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0126",125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0127",126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0128",127000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0129",128000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0130",129000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0131",130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0132",131000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0133",132000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0134",133000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0135",134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0136",135000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0137",136000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0138",137000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0139",138000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0140",139000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0141",140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0142",141000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0143",142000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0144",143000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0145",144000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0146",145000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0147",146000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0148",147000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0149",148000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0150",149000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hay0151",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
