"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Anacardaceae","Apiaceae","Artemisia","Asteraceae","Betula","Brassicaceae","Bursera","Campanulaceae","Caryophyllaceae","Celastra","Cupressaceae","Eriogonum","Euphorbiaceae","Fabaceae","Lamiaceae","Moraceae","Opuntia","Pinus","Poaceae","Polygonaceae","Quercus","Rhamnaceae","Rosaceae","Rubiaceae","Ulmus"
"tehu1",0,2.24549287112105e-07,0.0352337293907744,0.0183293548148728,0.00604603981655018,0.00257446924886777,0.00724116287906067,0.00409991435812133,0.0352304587281521,0.00331968897819402,0.00265384616958345,0.000354702813195415,0,0.00500580977690802,0.00106900370735253,0.0151512955344702,0.00752732474285714,0.00643735977349734,0.0225388268454571,0.00319351857277048,0.001377098873078,0,0.512580963236399,0.0615676641518032,0.005759698273078,0.185608594586693,0.00746590908722393,0.0484900421926195,0.00114307509762371,2.24549287112105e-07
"tehu2",1000,0.000183583195683357,0.0377374795315075,0.0178053772164993,0.00532672896283818,0.00280577308963539,0.0065727124463422,0.00341016016596057,0.032974108895253,0.00378341887236882,0.00321613133562398,0.00047590398685659,0,0.00525939808162925,0.00116316723841612,0.0146949944135504,0.00762492693658471,0.00624293065743737,0.0218481564179871,0.00302087529352504,0.00122098143059679,0,0.513723121557294,0.0596219839285452,0.00607047112943256,0.186721757689829,0.00713785698692331,0.0491875044621877,0.00189170215832138,0.0002787946350869
"tehu3",2000,0.000342073947094808,0.0409270608368476,0.0167908901156027,0.00460344375286262,0.00305689739252022,0.0059908323226298,0.00289503306014296,0.0304978274851771,0.00411474950780917,0.00359127333748628,0.000563481104219419,0,0.00535446246516683,0.00126679730768369,0.0145573955674592,0.00748162305962758,0.00621486940753356,0.0209708011925068,0.00280158485172653,0.00108842869440025,0,0.513773532051381,0.0579256895457907,0.00609647226161293,0.189322856779663,0.00673420963894055,0.0500850521595671,0.00230052187563583,0.000652141002621731
"tehu4",3000,0.000537992615990362,0.0441634007895307,0.0156037718215882,0.00365278682942799,0.00331981346675513,0.00534102354628789,0.00224431134947269,0.0272613659262292,0.00447407089287959,0.00402844407336919,0.00072517541322112,0,0.00563610336749197,0.00140881857539461,0.0142975652903338,0.00715352280638008,0.00644051229792918,0.0200985001875611,0.00270407084344881,0.000974232610298226,0,0.513595377204969,0.0552134590911615,0.00595038871890278,0.194603346571361,0.00647632844306118,0.0503189302139789,0.00263974495236765,0.00113694281084998
"tehu5",4000,0.000766815831031988,0.0479072540944858,0.0145905012782116,0.00290415723858121,0.00354302913606078,0.00496611879527571,0.00150847854480087,0.0250665662797642,0.0045876503644819,0.00443876685133709,0.00089330787431035,0,0.00529135786181374,0.0014409321642196,0.0142537695855467,0.00677593859566161,0.00666323333110736,0.0185096495841298,0.00257288228270373,0.000711541931547529,0,0.515134900598315,0.0531808159632036,0.00591867724135488,0.197174482210181,0.00595317924473153,0.050495668126971,0.00307809464964274,0.00167223100122102
"tehu6",5000,0.00100215650892509,0.0524637887859231,0.012936838537218,0.00208293285827068,0.00389011333412698,0.00458130964044834,0.000990950246519076,0.0226606950024645,0.00460456711296296,0.00471091804342801,0.00103083994204957,0,0.00519990906077694,0.00138804531097187,0.013910638464968,0.00608494995750487,0.00666260163412698,0.0168473417214843,0.00223827103547758,0.000490536363895851,0,0.514785659710624,0.0510379880338346,0.00592225727411584,0.202236540857477,0.00560775313098023,0.0509344470993595,0.00344107624587859,0.00225687470703147
"tehu7",6000,0.00111515968218929,0.0565595050805428,0.0110365365053727,0.0013319699765123,0.00438594617991387,0.00428962144580441,0.000574227972029397,0.0205832223504816,0.00458558393009387,0.00477241907854591,0.00115754975058753,0,0.00488085859670167,0.00159923687085162,0.0134829838494831,0.00549691238148153,0.0068233816268458,0.0153607089116325,0.00211140837824841,0.000315954717984595,4.90855279909799e-05,0.513964044098868,0.0487763040246016,0.00549182491588442,0.208516959637863,0.00554422122777227,0.0507430381253719,0.00358228728611794,0.0028690484470406
"tehu8",7000,0.00123446564848039,0.0595173331635378,0.00960723602986523,0.000684904813390827,0.00516117269728523,0.00405705250709888,0.000198766120362154,0.0192132455578448,0.00453126216711497,0.00474821232198713,0.00132328008626809,0,0.00458219120126449,0.00207515849421829,0.0128921821965088,0.00506421376989629,0.0070741500563474,0.0141984394820171,0.00225288150069325,0.000156486435236537,0.000111721160390439,0.512914132762853,0.0469986183027148,0.0049508782826105,0.214420921014253,0.00573569494129555,0.0491757630100799,0.00364375129403527,0.00347588541209583
"tehu9",8000,0.00131462462576311,0.0615276661596251,0.00876997824988589,0.000310133612326696,0.00662684146057511,0.00409171604129343,6.68367132138986e-06,0.0192231201165202,0.00442151820264449,0.00447837102805671,0.00143851724376676,0,0.004296873166757,0.00275138620907742,0.0122651805246762,0.0048380893380356,0.00697545864352142,0.013395852073073,0.00278243037332401,9.22845050065613e-05,0.000205662010583671,0.507374846983839,0.0461842735391111,0.00440878946493981,0.220853595485123,0.00614961358479774,0.0476101299727135,0.00368021733466937,0.00392614669725281
"tehu10",9000,0.00136811944468669,0.0616048234937424,0.00863278006342555,0.000101324436531982,0.00939748133908599,0.00400228464555313,0.00015331415159838,0.0196030634173627,0.00434496545169465,0.00392512203249143,0.00150844304571453,0,0.00449446186182292,0.0036790181478608,0.0116706347412294,0.00461730665447235,0.00629564923900671,0.0125640853831724,0.00336099034351729,0.000147221979188493,0.000560476294404961,0.50191259192488,0.046230094202537,0.0038991388814452,0.226725432025809,0.00635582236052043,0.0453411924298213,0.00337995177941218,0.00412421050873517
"tehu11",10000,0.00150096482982437,0.0598152770329636,0.00976983081893496,0.000224988820532789,0.0121757585971991,0.00387848771459262,0.000456879005102315,0.0204475044856732,0.00409480902649176,0.00329662347588485,0.00180419632892475,0,0.00440858353041248,0.00478121522019174,0.0117814085411408,0.00470979168827542,0.00586734626260809,0.0115663815255787,0.00387286115674848,0.000220431485552393,0.000906559865983672,0.499340410727536,0.0492434407878511,0.00325110252853268,0.228633365134016,0.00622078533288576,0.0409030314080778,0.00280222707688383,0.00402573773137655
"tehu12",11000,0.00167963199495548,0.0548982963061279,0.011245255874913,0.000403030369703558,0.0140578794274774,0.00352912608672179,0.000739500270669712,0.0207383983019262,0.00348070478370852,0.00275587826958264,0.0020927660065591,0,0.00428466775077866,0.00538146309783684,0.0134994979544405,0.00434820329689389,0.00515534774182556,0.0104822228756703,0.00405725167551392,0.00031355666008721,0.00109105260391347,0.508911110812693,0.0518187621987761,0.00285078614728048,0.225497749774218,0.00563414197801419,0.0355047977390285,0.00203881826670005,0.00351010170145717
"tehu13",12000,0.00177140964388566,0.0486982983104523,0.0123443652399987,0.000691994171087874,0.0147018275577364,0.00302618959467741,0.00107962357601406,0.0203684180703893,0.00274825257686044,0.0022002866136836,0.00231226726897941,6.50047693329619e-06,0.00389172949240395,0.00529664109628447,0.0168847123380938,0.00370140922766719,0.00422187836726735,0.00891515475458013,0.00371509238523431,0.000566453763226124,0.00121353007273565,0.530696591894062,0.0529659079356532,0.00263938585997129,0.215868708976644,0.00482772369255823,0.0304486108584178,0.00142362899120401,0.00277340711395145
"tehu14",13000,0.00178419570696836,0.0421507735633521,0.0127597868982668,0.00100209298252774,0.0141668241263868,0.0022710238336166,0.00146310295448433,0.0199775482012532,0.00209600944980576,0.00183331210322737,0.00249786445000187,4.06415479063165e-05,0.00329245812483658,0.00492019002841694,0.021682168135305,0.00315913922796123,0.00354980907852714,0.00726380155342535,0.00298536385516977,0.0012217954813044,0.00130417114972358,0.560406827727251,0.0536886885401927,0.00236251202538194,0.19997272933215,0.00394758817698256,0.0252479244296814,0.000930891608204774,0.00202076550564977
"tehu15",14000,0.00179615714739223,0.0361277690800709,0.0129257070527123,0.00126436539582209,0.0124387796900667,0.00168401962349947,0.00167641882557472,0.0194607271771757,0.00155222436224284,0.001673449479526,0.00262170734848212,9.4429241686588e-05,0.00254207013793281,0.00449557112456623,0.0266773261977568,0.00279182328851245,0.00322590465062677,0.00617688829635247,0.00231493906218886,0.00192742620634227,0.00111620345036801,0.588294939076395,0.0550677583832866,0.00209486480694719,0.184227980596227,0.00337982255416463,0.0203470112536394,0.000619838482730552,0.00138387765359141
"tehu16",15000,0.00170289035987019,0.0302125576304931,0.0128052731847121,0.00137749322529556,0.010529350845589,0.00114736459147432,0.0017740582133904,0.0189581135311538,0.00119206803149319,0.00155777808881677,0.00250996284943869,0.000244232782792993,0.00192038276194655,0.00389028832271418,0.0320336539941054,0.00234108262824122,0.0028034238369954,0.00535260395723085,0.00182497929541842,0.00282698503326489,0.000970863914370633,0.616559668989933,0.054781607234419,0.00193387917506706,0.168017341486456,0.00288454152132662,0.0165093256587823,0.000463261816157234,0.000874966681301123
"tehu17",16000,0.00164615424358629,0.0258536649740422,0.0127977594396589,0.00152238743371658,0.00870344719816006,0.000720306112888021,0.00192650929000572,0.0190111988803868,0.00111335037337553,0.00147908517678944,0.002330039015403,0.000403845165039391,0.00140276562260117,0.00337211558477544,0.0373023565243923,0.00213234356176352,0.00263811116205979,0.00450427607891724,0.00146545683970776,0.00395731043468453,0.000889382392271564,0.638441133044829,0.0557598699397263,0.00180707640817117,0.151806065617719,0.00252326519282372,0.0134708919400125,0.000472949921065922,0.000546882115059592
"tehu18",17000,0.00169955420648117,0.0231390674094671,0.012549992365508,0.00153232120332363,0.00703510014355853,0.000365656439399885,0.00199679449085135,0.0194132676958998,0.00117853625000228,0.00150601608176749,0.00206656272581425,0.000595426133985526,0.00102808059656504,0.00306867605326751,0.0423076562702708,0.002078328540286,0.00259840367737431,0.00392481170382099,0.00133023878896504,0.00524239934105987,0.000796693425501237,0.650992462838902,0.0583222186799752,0.00166485010260178,0.139471265654687,0.00218349753331386,0.0110588800124111,0.000498000553901751,0.00035524073353471
"tehu19",18000,0.00180110113695682,0.0217467303722769,0.0127536041768103,0.00139903310889353,0.00539426117226428,0.00019311052235719,0.00186493659558631,0.0194715931747105,0.00123768070271604,0.00160693677981921,0.00161852134976745,0.000800378075738328,0.000688364108074625,0.00294810878767231,0.0461092555473758,0.0019763931589098,0.00266955546482378,0.00354230532954677,0.0013156879213955,0.00600963547279237,0.00061205910969144,0.656947421153482,0.0628418343226805,0.00166968244656637,0.130946552708574,0.00181851069029596,0.00923345163555523,0.00052559550488719,0.000257699196915453
"tehu20",19000,0.00189493658113741,0.0216488100532338,0.012987382163628,0.00118357569129001,0.00435584317143306,6.29475047301461e-05,0.00170024319896819,0.0196608962537364,0.00134559158442374,0.0016139374058864,0.00108508958230937,0.000983211819106649,0.000482111726098566,0.00289444643757778,0.0491537933856489,0.00179978840918482,0.00287110090865925,0.00330762018258485,0.00137814359988884,0.00663239787259415,0.000536586307731342,0.658604315248952,0.0665691752824072,0.00184876003072481,0.125013755640726,0.00145230277068155,0.00815303710002779,0.000523200480155134,0.000256999471069388
"tehu21",20000,0.00213049786437063,0.0232037316697259,0.0130276669647614,0.00102146815244372,0.00376027313668887,1.8346265947493e-05,0.00154740444508504,0.019745411560928,0.0014010728310584,0.0015836791799356,0.000634407054557213,0.000865455523584127,0.00034380467188618,0.00296314071167923,0.0514091726707992,0.00185571945664318,0.00330697869626837,0.00323902148501569,0.0014459071334691,0.00675664542810556,0.000405713673454786,0.652521062779047,0.0712831771841048,0.00217999953303704,0.123878893801172,0.00124587005680004,0.00744339127965215,0.000491173663121251,0.00029091300046783
"tehu22",21000,0.00240238022830705,0.025055763493813,0.012599906018754,0.00088927805117946,0.00357430336533144,0,0.00127855395744056,0.0190497351207267,0.00123451345795807,0.00155167289195619,0.000253142374538489,0.000686175499853243,0.000265456413421284,0.00297416967583767,0.0529375012862682,0.00191765787012806,0.00354966090494802,0.00340129408229188,0.00143235282946874,0.00636117012119012,0.000242019774025613,0.645206519402747,0.0740998465635611,0.00261261915429534,0.127368554738248,0.0009816962539045,0.00727840718273524,0.000433926129501182,0.000361722998501537
"tehu23",22000,0.00247102122284745,0.0253276057278698,0.0123062592085531,0.000901557831323277,0.0035282315735714,0,0.00103520971295394,0.0180677209353479,0.000965884423959418,0.00154699677370914,1.95966428595424e-05,0.000445884589444687,0.000166018409816239,0.00289209055151678,0.0528793294070783,0.00198867890353411,0.00389896566326805,0.00355612066835758,0.00128852161697517,0.00557983913016092,9.48062321698525e-05,0.645199337469849,0.0746431229513051,0.00306868069612322,0.129346557679309,0.000855004724795915,0.00719226553651695,0.000375755227550643,0.000358936442503443
"tehu24",23000,0.00265023639143833,0.0243188803522192,0.0110657619715661,0.00105013409839797,0.00332455407859582,0,0.00106104322517727,0.0174880882801015,0.000925865612010855,0.00144276853653156,0,0.000206792684023461,0.000185526826507923,0.00249464413957804,0.0528267879739473,0.00208861413742449,0.00406960870084916,0.00380652601393679,0.00119024815101112,0.00529576501796376,3.32465416440515e-05,0.647908607375698,0.0724347796032041,0.00341216063745076,0.131817664633074,0.000935920209226998,0.00730131187919111,0.00029174446168257,0.000372718448183489
"tehu25",24000,0.00294085507199245,0.0232975020468033,0.00915155503477125,0.00120081963032866,0.0031846210301617,0,0.00127362108925104,0.0171572677352231,0.000969986799956445,0.0014386703092935,0,0,0.000258293172712919,0.00209584346794185,0.0523616673238299,0.00208914587545143,0.00409096728907682,0.00379570852176832,0.00127045523198374,0.00490018608188302,0,0.648904126746275,0.0717394668960492,0.00326861438364517,0.134915408780774,0.000974523637732973,0.00803697014469267,0.000298867965101719,0.000384855745930349
"tehu26",25000,0.00332088063444563,0.0221338633297694,0.00741776618640134,0.00141333404919717,0.00299614051535271,0,0.00150696812232707,0.0171515345340157,0.00110007872481166,0.00146918583521041,0,0,0.000339949256068792,0.00188107445892626,0.0505515326948292,0.00173955624608097,0.0039108601220417,0.00354749314506126,0.00132582886005631,0.00452344694924283,0,0.652644613811791,0.0714900334802146,0.00285301512316414,0.135976801190149,0.000893368289057149,0.00909309654040788,0.000317675604615326,0.000401902407883723
