"","YrBP","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Papaver","Pedicularis","Phlox","Picea","Pinus","Plantago","Poaceae","Polemoniaceae","Polygonaceae","Populus","Potentilla","Ranunculaceae","Rosaceae","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Thalictrum"
"zago1",0,0.592908722959822,0,5.1278538537936e-06,0.00455174541559575,0.0100324353655762,0.00460351166746923,0.165356981791736,0.000512235035483191,0.0028032864408162,0.0149109573284377,0,0,0,0,0.0309757856254853,0,0,0.151049519063503,0.000804131539169952,0,0.000813778753844765,0.00195924067339814,0.00407162601941192,0.00138879535429019,0.00113959775417582,0.00938362871682668,0,0.00272889799521473,0
"zago2",1000,0.609938707238542,0,3.19348534201954e-06,0.00464548276416479,0.00959256319238886,0.00399155973748681,0.156156933955498,0.000368236862641648,0.00256283158487407,0.0158864784447401,0,0,0,0,0.0306541083515392,0,0,0.144019700164816,0.000773105489906868,0,0.000849399450704225,0.00189989827994678,0.00388711854351516,0.00153976381947057,0.001185709419232,0.00935388604126715,4.92310711107033e-05,0.00264209545279167,0
"zago3",2000,0.626312452478404,0,2.09206818091094e-06,0.00485167550538901,0.0087389814152928,0.00333936409217197,0.147382803594946,0.000318128393876492,0.0021658428190691,0.0171101373791465,0,0,0,0,0.0305406944163307,0,0,0.137304744285917,0.000867059293581095,0,0.000938445823599856,0.00182742611544449,0.00355014453566724,0.00162124952608678,0.00111794593493274,0.00938737621478185,0.000109146108219233,0.00251429223821404,0
"zago4",3000,0.637436488316947,0,5.1374645713748e-05,0.00516897544814153,0.0081603627124306,0.00266549141789781,0.142600886702625,0.00029782289997177,0.00183775352383551,0.0181623088056084,0,0,0,0,0.0296752046488567,0,0,0.13167135483397,0.00103579046310342,0,0.0008071068852169,0.0018112122594147,0.00348263148911264,0.00180750925634704,0.00111136854916722,0.00965687817884633,0.000165440807640915,0.00239403957630564,0
"zago5",4000,0.640516742066486,0,0.000106575207368209,0.00539182911473459,0.00808319376077125,0.00226758502948016,0.143287435810448,0.000307505830003845,0.00155171768789482,0.0190837962859759,0,0,0,0,0.0286880650605533,0,0,0.128240179277278,0.00121117550284731,0,0.000641658386959149,0.00170413693803673,0.00343851034480801,0.00196828637300643,0.0012039488623954,0.0101005988849908,0.000221796208118946,0.00196802319980591,1.72409632138868e-05
"zago6",5000,0.616656406498838,0,0.000158094416747982,0.00506505257869245,0.00875204067949969,0.00255268290467489,0.164382737819303,0.000357313490534906,0.00120230198337621,0.023248612308578,0,0,0,0,0.0267314139589107,0,0,0.128430954210219,0.00144413222609776,0,0.000600045736467666,0.00149722836872172,0.00331362050270558,0.00210895630146367,0.00153339198541648,0.0100586905900115,0.00027384396902333,0.00149383994681096,0.000138639807043378
"zago7",6000,0.551900224700593,0,0.000205543647201489,0.0046537518555398,0.00980226397935063,0.00335559200179337,0.212829453484859,0.000383756798408171,0.0011995015104784,0.0306903124400246,0,0,0,0,0.0227146938132675,0,0,0.138486106261268,0.0017504905825377,3.21614188969923e-05,0.000857528229705033,0.00128637525677638,0.00319577427095254,0.00222960214903756,0.00188880584407932,0.0108144932445131,0.000294680006251174,0.00117803437908419,0.00025085457862645
"zago8",7000,0.463329800506033,0,0.000232995327605552,0.00413092790552234,0.011391122719518,0.00425929688926118,0.280800920782841,0.000347455939474048,0.00146308518288428,0.0373728649330188,0,0,0,0,0.0180304812643745,0,0,0.151089653128306,0.00186526076444369,8.69404102946375e-05,0.00227119265822357,0.00111465177850699,0.00321902813076557,0.00221652794397738,0.0021901177347494,0.0129804072739038,0.000271251443769885,0.00094572916382583,0.000390288265834652
"zago9",8000,0.371383913888391,0,0.000177736436404386,0.0035534854167267,0.0125182729716775,0.00522577514081219,0.344710356444756,0.000317667247125057,0.0019342103284506,0.0426876743732757,0,0,0,3.84928890578724e-05,0.0141785150035887,0,0,0.167095890405134,0.00185986652572107,0.000178536855479068,0.00696962892989407,0.000968455362456309,0.00309609129397796,0.00210080739623523,0.00227297261533125,0.0171705749931028,0.00024071674385656,0.000785358294004643,0.000535000188905787
"zago10",9000,0.279486029885025,0,0.000156475173413151,0.00308165212060528,0.0137595094892508,0.00595953441147615,0.400587556189507,0.000309757997042474,0.00251369738674696,0.0472450882312215,0,0,0,7.20978593928164e-05,0.010929246208559,2.94611396094641e-05,0,0.186154446826634,0.00181730805708381,0.000274873902662961,0.0140884116185148,0.000858766213215032,0.00294670502642769,0.00193993992185718,0.00227983691533637,0.0238685401354998,0.000219009629014633,0.000772795067037248,0.000649259961896617
"zago11",10000,0.193107079284212,0,0.00014729831160166,0.00283794435674624,0.0147248905504088,0.00627323339157723,0.453889824145578,0.000307746617175749,0.0032524700210343,0.0482770655359223,0,0,0,0.000104660069639364,0.00807974786880704,6.50069126624221e-05,0,0.204292596144334,0.00175014599011614,0.000372076420244948,0.0210157058901467,0.000902646655659471,0.00297266491423434,0.00166103215108508,0.00209208053997082,0.0323205439270698,0.00021299005604623,0.000691879400081423,0.000648669554683524
"zago12",11000,0.131260520221679,0,0.00014268517004089,0.00254243158036634,0.0152177609812728,0.00663924211541061,0.492603055557971,0.000422528181055594,0.00383266669048015,0.0452576193017076,0,0,0,0.000137844364416077,0.00620750417938233,9.99117966601288e-05,0,0.216212797867846,0.00158265245828485,0.000431002756812163,0.027720317420498,0.00101327384101814,0.00314996652817393,0.00139740399120153,0.00179608799861485,0.0408954044835278,0.000175074587502632,0.000538589915129151,0.00072365561593697
"zago13",12000,0.0806529725880475,0,0.000144578423754998,0.00221934186767312,0.0159146678107279,0.00769708355816067,0.516195056846953,0.000644819212684024,0.00455173377927345,0.0409657237281102,0,0,0,0.000177483210400763,0.00460487025422574,0.000139543737118321,0,0.232542650508906,0.00152928571057116,0.000466957808331061,0.0338788019671937,0.00112346398690249,0.00337837701238186,0.00114589035552981,0.00154646781192067,0.0491134205251954,0.000137243093420574,0.000388135947280534,0.000841427301401763
"zago14",13000,0.0377388587402418,0,0.000174056627877713,0.00192802805231116,0.0193990783695696,0.00980803360925422,0.52817079105913,0.000937535699687212,0.00526340798362954,0.0344851313530434,6.74416112795561e-06,0,2.04858622053378e-07,0.00016299711250794,0.00334444121865225,0.0001863821802428,6.40845762137028e-05,0.255372760466965,0.00153955996924847,0.000464025162733842,0.0350323354418465,0.00125425346660595,0.00368617631777381,0.00084421481516724,0.00178267858819793,0.0568078265559843,0.000316942584219168,0.000236584791042987,0.000992862936974941
"zago15",14000,0.0112015821110137,7.07528036858389e-05,0.000140656498331263,0.00187679817594826,0.0289517030041414,0.0127072276752905,0.498114190625764,0.0013035207299447,0.00656876334368681,0.0250215382323808,9.67393286194548e-05,0,0.000144886262539891,0.000248119676045701,0.00278012293479744,0.000189327228702283,0.00146156153275354,0.307751448608419,0.00152788230831445,0.000462365851226583,0.0278415185723038,0.00148692449183902,0.00431132808841872,0.000573731694669785,0.00256909944663695,0.0594898881997125,0.00102818594142366,0.000178125795878097,0.00190200682939901
"zago16",15000,0.006526292236903,0.000250438792666864,0.00010170782794423,0.00189665166730347,0.041519039330798,0.0155346799436369,0.426918878651735,0.00160562375908632,0.00758531852307327,0.0165596832862652,0.000187918628312074,0,0.000288199767214476,0.0005140743336814,0.00295738511786414,0.000329310514494215,0.00394820233867695,0.378479917689588,0.00143288593811925,0.000441399841637496,0.0191549520602551,0.00161565479962029,0.00493868752923168,0.000495673399952536,0.00358833128982498,0.0575240621372293,0.00178181165275586,0.000254059057253041,0.00356915348651439
"zago17",16000,0.00468007417689687,0.000497291247427732,6.37539418661623e-05,0.00219782815773162,0.0565423615509839,0.0179868587742101,0.338178406077117,0.00174111447285302,0.00838915380955528,0.0103929455162882,0.000277588824914827,7.08424258856238e-05,0.000453378652814968,0.000900148773902442,0.00367900279889019,0.000518464553103244,0.00672659258277406,0.458430025825838,0.00140392627150394,0.000444258957886581,0.0108023165031163,0.00182811993927965,0.00536211746696216,0.000416218231897269,0.00476260426702597,0.0543053446092431,0.00264544628551895,0.000426382675273179,0.00587742512522361
"zago18",17000,0.00310849528748692,0.000968217367289246,2.82593381456425e-05,0.0025884264122401,0.0719001133576107,0.019407303666958,0.247496269825106,0.00183112646257512,0.0091583666544201,0.00629674092162194,0.000401192773346713,0.00014820285957984,0.00061531862721868,0.00146500407771987,0.00469550742871632,0.000789614041303855,0.00998787712304837,0.53520847956837,0.00126074233996914,0.00054915027612512,0.00391654168543036,0.00203039146654582,0.00555824638643058,0.000381471067890245,0.00585285605028108,0.0515557441903344,0.0034693639374184,0.000685264663613116,0.00864570491058384
"zago19",18000,0.00217885057415897,0.0015685633742045,2.84025097840372e-05,0.00296893377426865,0.0857067176153233,0.0195020725514037,0.161436367064582,0.00207461465057897,0.0100737333648809,0.00403113096436148,0.00050577683461821,0.000219928617641276,0.000918218353487795,0.0022461955169552,0.00573339154991359,0.00111150351039457,0.0134620064237507,0.603048914601654,0.00110122858054368,0.000715685358661796,0.000496222353912063,0.00221500346531867,0.00629933816929334,0.000434653446185209,0.00631222830189265,0.0485451586157166,0.00392093327988245,0.000976447895847346,0.012167772398274
"zago20",19000,0.00210263038668204,0.00238931572736204,0.000113827762878011,0.00311785188863617,0.095795326371914,0.0192257321688237,0.0994342476689839,0.0024696509009162,0.010521237364311,0.00282323140298778,0.00050121912095293,0.000307226965049974,0.00121493551606014,0.0030763705623505,0.0068603724532825,0.00155424562853451,0.0161740180820092,0.645759213992888,0.00100524620482018,0.000911949117066034,0.000240307578634888,0.00238212542794294,0.00704551022420126,0.000492131563845464,0.00634366661609431,0.0466623174236823,0.00384945966331369,0.00133438035352597,0.0162922469782697
"zago21",20000,0.00226501457531547,0.0033118576985569,0.000235742150766861,0.00323118979700279,0.104095670673422,0.0192919759756462,0.0539981973775855,0.00304132423958451,0.0113726299919463,0.00240838077685145,0.000523389235121542,0.000411059330588342,0.00160478923458916,0.00386686891374233,0.00816113056257221,0.00195180778988922,0.0177359444431708,0.670769703163929,0.00102160540206384,0.00119536046889513,0.000146819009356381,0.00251087973401146,0.00802341352513536,0.000497639078645703,0.00630121121891212,0.0456106973361387,0.00380872763675494,0.00183036826225052,0.0207766031212818
"zago22",21000,0.00263788465269763,0.00436535988335497,0.000422061495672245,0.0030770722175779,0.109094803449678,0.0192171856823908,0.0239241564893609,0.00388984573892816,0.0128393025650606,0.00249904282680564,0.000580937225632333,0.000378954711374784,0.00196377164548471,0.00457214905327948,0.00905286545929506,0.00236040910325303,0.0186778646550298,0.684147459249964,0.00104372989160175,0.00152043057973889,0.000259352318763224,0.00241868700510916,0.00930296949573235,0.000488137131491633,0.00589462883880314,0.0446282263093023,0.00346944120249086,0.00238375109268609,0.0248895257497355
"zago23",22000,0.00313906649549282,0.00498762063817685,0.000728421921034734,0.00283407426187385,0.113035498218323,0.0189678295853891,0.00894440623390338,0.00508257966557851,0.0146121697948832,0.00246971741760334,0.000757293250510072,0.000344570064806915,0.00224510566047162,0.00498065069724623,0.00930796695086001,0.00266545492130677,0.0182559998223467,0.688301466212783,0.00113350177423304,0.0016858389818971,0.000494232287025015,0.00227643292945555,0.0109849552151204,0.000455484993582372,0.00516831785547353,0.0424863525675582,0.00284083993011092,0.00281962793332591,0.0279945308824671
"zago24",23000,0.00374548742952923,0.0053195963577043,0.0010887085667754,0.0024760457078012,0.116663450721969,0.0192946834045765,0.00906630492825933,0.00610540530942379,0.0165327192800173,0.00240418347147827,0.000966700404432033,0.000291398133189691,0.00208153916893966,0.00503169206418142,0.00869617232134044,0.00287957869218917,0.0164141797497382,0.685533279419526,0.00117962912569062,0.00163850799895278,0.000702530848297363,0.00210621630363398,0.0115960332261276,0.000304279414470913,0.00439815936687651,0.0390567292630933,0.00219337538798946,0.00319042731203582,0.0290429927651456
"zago25",24000,0.00400898545374121,0.0051248540676842,0.0012805335053199,0.00227742129123864,0.120645271361645,0.0197653042223446,0.0101117209904296,0.00664791816262139,0.0183113206259114,0.00221490599848775,0.00120770992921568,0.000257212271395703,0.00159025383866403,0.00474567342442507,0.00726241558132149,0.00288700214393424,0.013857095416745,0.687029052817276,0.00119961044854553,0.00147796510842866,0.000833618625576547,0.00195497980808408,0.0123698056336563,0.000163693515776057,0.00463709576515765,0.0360155565847673,0.00170342238560334,0.0032074948806183,0.0272121104188081
"zago26",25000,0.00413751897573573,0.00461612024898744,0.00135213787140495,0.00206895975316773,0.125627472242838,0.0195657368591985,0.0106864396510757,0.00701347782923974,0.020015880969679,0.0019942363173863,0.0014171050033721,0.000246727613202289,0.00110194990101999,0.00435275012488853,0.0060231087132413,0.00272375812050386,0.0116956462275193,0.689487644383955,0.00119791584025713,0.00145376123972577,0.000918856286229191,0.00201670647522481,0.0128101673337266,7.67800140271998e-05,0.00482098428922042,0.0331703562189822,0.00118949026204853,0.00373667939511185,0.0244816326168066
"zago27",26000,0.00435514306222658,0.00396010576453417,0.00148656070283761,0.00188285285329367,0.131939113583495,0.0191328543037521,0.0106383386405794,0.00714660932922498,0.0217411029418317,0.00190209772233781,0.00150826305831863,0.000295280617922775,0.000784725786455078,0.0040390165079227,0.00531871065944672,0.00250511481053564,0.00990255780464207,0.687943222195722,0.00128496626538458,0.00150539114985484,0.000765286716135718,0.0021671084740327,0.013920112314495,0.000120017338124659,0.0051900989943042,0.0302926455224707,0.000960532483114335,0.00493523414309108,0.022376935149135
"zago28",27000,0.00448518663730653,0.00349494365772976,0.00156846879195052,0.00158685335563032,0.135684815114801,0.0191117602280826,0.0106304315653376,0.00696743872518494,0.0236472965087001,0.00178140382185397,0.00145072109054624,0.000381806598723896,0.000632433431520876,0.00379224776456165,0.00502990096746353,0.00226144726624734,0.00812323824220198,0.683788164635753,0.00141596308365027,0.0017788510058163,0.000539277467435672,0.00243114937377579,0.0157279385045416,0.000263940384293894,0.00578187063259776,0.0286285506971204,0.000939752144174642,0.0067040060078224,0.0213701411727198
"zago29",28000,0.00462787371722952,0.00295062937319558,0.00164116797630143,0.00129889900212453,0.136710701896088,0.0190852335376692,0.0113193124504562,0.00696386413941563,0.0264281038637964,0.0017083611306899,0.00152208607328979,0.000549567786200704,0.000643920981505251,0.00338647695408244,0.00507890694402888,0.00195752366985135,0.00646261389660645,0.676045694396685,0.00170510166424918,0.00221325282104671,0.000391098883865624,0.00265986437638236,0.0185538547507161,0.000431066327417121,0.00674459130477449,0.0286767721027676,0.00100252747034201,0.00841772785036009,0.0208232042804689
"zago30",29000,0.00485219252640057,0.00234252820945806,0.00180554979638316,0.000943321446658996,0.135111794778087,0.0192130521660796,0.0128724800076467,0.00708855712057114,0.0304480095167301,0.00172013615699324,0.00158052038375667,0.000909127163206184,0.000766368166864324,0.00306030770593268,0.00540600837748473,0.00166755644285335,0.00519524796510016,0.665556154967844,0.00214753154305101,0.00269419109765466,0.000273104828037879,0.00285883070270525,0.02138363460698,0.000588669916983804,0.00699804474977727,0.0300163562339853,0.0011421613765466,0.0103810393895979,0.0209775232482167
"zago31",30000,0.00513715224817033,0.00184307475606832,0.0020605340717932,0.000655543875484663,0.130317441592046,0.0197301087090876,0.0154386834203145,0.00708136939992429,0.0345096533609849,0.00182744406938422,0.00157714092184023,0.00132907273477184,0.000886531661475899,0.00272810641523275,0.00565115776280198,0.00140666043429233,0.0042064635952004,0.655263430782842,0.00266368879681442,0.00306384104769197,0.000176204383072935,0.00289288416982701,0.0247081168337463,0.000752141984708743,0.00755897268506091,0.0318380636857779,0.00132206624238879,0.0118816938768383,0.0214927581016071
